id,interval_end,last_price,volume_ETH,weighted_price
85,2017-10-01 14:20:00,298.5,77.33985234,298.227393472
86,2017-10-01 14:30:00,298.7,76.59437031,298.825940035
87,2017-10-01 14:40:00,298.00000095,59.2013622,298.092099877
88,2017-10-01 14:50:00,298.5,0.91916054,298.335394897
89,2017-10-01 15:00:00,298.49999999,15.90567608,298.16532732
90,2017-10-01 15:10:00,298.49999999,8.48500221,298.835507812
91,2017-10-01 15:20:00,298.91657172,102.43037886,298.865925489
92,2017-10-01 15:30:00,298.91,128.09823141,298.980187904
93,2017-10-01 15:40:00,298.51657172,51.52819085,298.706994189
94,2017-10-01 15:50:00,298.5999997,88.46110959,298.504131693
95,2017-10-01 16:00:00,299.80152332,119.12073377,299.646701188
96,2017-10-01 16:10:00,300.99999999,193.24336911,300.157743042
97,2017-10-01 16:20:00,300.70001064,72.09293472,301.230633886
98,2017-10-01 16:30:00,300.43513295,56.56360334,300.60501962
99,2017-10-01 16:40:00,301.56485998,46.51931305,301.284079476
100,2017-10-01 16:50:00,301.55399984,2.86697536,301.066803463
101,2017-10-01 17:00:00,300.9999892,15.21447779,301.019444056
102,2017-10-01 17:10:00,300.433576,53.62348056,300.851974311
103,2017-10-01 17:20:00,300.18021004,67.98065549,300.38046859
104,2017-10-01 17:30:00,300.13188845,1.45804813,300.72741454
105,2017-10-01 17:40:00,301.08053997,71.41139281,300.907375964
106,2017-10-01 17:50:00,300.99999983,33.49793922,301.419228064
107,2017-10-01 18:00:00,300.95,10.00808212,300.882378234
108,2017-10-01 18:10:00,300.9,33.5783516,301.374269137
109,2017-10-01 18:20:00,301.40149925,30.89834936,300.989603558
110,2017-10-01 18:30:00,300.43007099,8.43360579,301.292828328
111,2017-10-01 18:40:00,301.31996861,2.18145813,300.48234173
112,2017-10-01 18:50:00,302.04399996,18.09270568,301.639503903
113,2017-10-01 19:00:00,302.38,48.24222333,302.099300216
114,2017-10-01 19:10:00,302.5,146.25414593,302.507027554
115,2017-10-01 19:20:00,303.0,179.19539649,302.908849205
116,2017-10-01 19:30:00,302.49999827,20.13499339,302.949933469
117,2017-10-01 19:40:00,302.83578996,74.52093199,302.181674338
118,2017-10-01 19:50:00,302.83578508,82.24571793,302.608147196
119,2017-10-01 20:00:00,301.55999997,10.67977756,302.198583347
120,2017-10-01 20:10:00,301.04000001,68.45978841,301.089141487
121,2017-10-01 20:20:00,301.04,168.51494667,301.046150725
122,2017-10-01 20:30:00,301.29116994,6.10980565,300.377401127
123,2017-10-01 20:40:00,301.9999998,29.35965542,301.456069423
124,2017-10-01 20:50:00,301.0,8.53991051,301.436258871
125,2017-10-01 21:00:00,301.91303975,15.07083707,301.904416693
126,2017-10-01 21:10:00,302.99999972,22.29895026,302.746344258
127,2017-10-01 21:20:00,303.50699995,24.41790154,303.072039228
128,2017-10-01 21:30:00,302.39999999,64.89747676,302.903334703
129,2017-10-01 21:40:00,302.80000015,13.53781915,302.88247126
130,2017-10-01 21:50:00,303.0,44.40735552,303.094853245
131,2017-10-01 22:00:00,303.14,2.30078264,303.368480884
132,2017-10-01 22:10:00,303.78777303,23.66310487,303.798344589
133,2017-10-01 22:20:00,303.19,4.03984073,303.208268804
134,2017-10-01 22:30:00,304.28010997,37.4289648,303.976647529
135,2017-10-01 22:40:00,305.0,86.82550714,304.857002674
136,2017-10-01 22:50:00,305.28999999,280.18548858,305.607153491
137,2017-10-01 23:00:00,305.31882999,302.43033902,304.616526742
138,2017-10-01 23:10:00,304.4999997,105.15140316,305.275182116
139,2017-10-01 23:20:00,304.48999999,6.73243317,304.847418565
140,2017-10-01 23:30:00,304.20000046,223.13180602,304.715608064
141,2017-10-01 23:40:00,304.00000001,86.60664334,304.495956011
142,2017-10-01 23:50:00,303.99999997,9.1283852,304.078603936
143,2017-10-02 00:00:00,304.60107,269.92639138,304.617613528
144,2017-10-02 00:10:00,304.79,97.02489597,304.634031229
145,2017-10-02 00:20:00,303.38128305,42.02757059,304.252458464
146,2017-10-02 00:30:00,303.98128176,50.91297203,303.352697483
147,2017-10-02 00:40:00,302.39999932,254.3375774,302.535348911
148,2017-10-02 00:50:00,301.34480296,471.87647618,301.31078939
149,2017-10-02 01:00:00,300.8547586,170.63850916,301.325242567
150,2017-10-02 01:10:00,301.57489231,92.25572394,301.314964095
151,2017-10-02 01:20:00,302.99626737,29.96567546,302.539497245
152,2017-10-02 01:30:00,302.35899985,19.51355481,302.239904114
153,2017-10-02 01:40:00,302.57489112,36.76554452,302.529203695
154,2017-10-02 01:50:00,303.14978477,22.33149254,302.879819617
155,2017-10-02 02:00:00,302.8,109.33941037,302.810693224
156,2017-10-02 02:10:00,303.59009912,82.57998037,303.365332023
157,2017-10-02 02:20:00,303.12290809,12.21811602,303.379382532
158,2017-10-02 02:30:00,302.8,17.66835026,302.823082202
159,2017-10-02 02:40:00,302.0,184.21632642,302.7645124
160,2017-10-02 02:50:00,301.66704536,15.81466214,302.150714259
161,2017-10-02 03:00:00,302.33428975,33.88586577,301.947436594
162,2017-10-02 03:10:00,300.83316518,19.94524196,301.59755758
163,2017-10-02 03:20:00,301.0,58.28858607,301.253572623
164,2017-10-02 03:30:00,301.0,33.29764941,301.298619119
165,2017-10-02 03:40:00,301.10000003,58.77107658,301.049341591
166,2017-10-02 03:50:00,301.51000006,37.36091043,301.268504607
167,2017-10-02 04:00:00,301.95314951,12.60689765,301.753137438
168,2017-10-02 04:10:00,301.97320997,2.53963049,301.521451302
169,2017-10-02 04:20:00,302.03338999,35.09994438,301.872142924
170,2017-10-02 04:30:00,301.80000003,5.34494495,301.992660898
171,2017-10-02 04:40:00,301.433437,57.99304893,301.755600759
172,2017-10-02 04:50:00,301.73263756,22.20757868,301.553745778
173,2017-10-02 05:00:00,301.68999997,13.15283675,302.008085873
174,2017-10-02 05:10:00,301.42395769,74.78181743,301.24586668
175,2017-10-02 05:20:00,302.15000001,12.79446233,302.161167545
176,2017-10-02 05:30:00,302.541,81.10976731,302.425802775
177,2017-10-02 05:40:00,301.99,209.78251735,301.824190683
178,2017-10-02 05:50:00,302.87642997,72.08377544,302.556869168
179,2017-10-02 06:00:00,302.23099992,192.90572874,302.106015972
