Time,bitfinex,bitstamp,cex.io,coinbase,gemini,hitbtc,itbit,kraken,others,therocktrading
2017-11-09 09:00:00 UTC,7189.089315,7204.60552,7329.921615,7211.619672,7204.54507,7191.423446,7198.38048,7232.515668,7141.04669,7214.9
2017-11-09 10:00:00 UTC,7207.056986,7228.267688,7330.13763,7226.019074,7228.38623,7197.928678,7208.249907,7254.338056,7158.165185,7269.0475
2017-11-09 11:00:00 UTC,7108.906906,7139.324162,7289.819165,7146.766137,7140.344803,7110.231047,7130.8,7160.735571,7095.154354,7203.945
2017-11-09 12:00:00 UTC,7078.534277,7120.427273,7264.384153,7135.624652,7137.407264,7083.590204,7112.483586,7156.35141,7082.81649,7197.642308
2017-11-09 13:00:00 UTC,7137.707302,7162.261622,7284.710483,7187.820545,7166.942862,7130.690938,7157.22359,7215.574533,7108.155761,7256.7325
2017-11-09 14:00:00 UTC,7171.171125,7187.549118,7277.574368,7188.725129,7186.570631,7156.753068,7201.013514,7200.702287,7124.375313,7257.156667
2017-11-09 15:00:00 UTC,7155.972447,7179.49169,7299.571616,7183.386315,7182.444602,7155.603587,7176.860283,7209.476253,7109.974582,7259.29
2017-11-09 16:00:00 UTC,7140.054373,7169.333839,7251.379417,7175.412434,7172.424031,7138.696746,7161.418891,7188.738349,7088.713699,7257
2017-11-09 17:00:00 UTC,7160.99223,7188.370273,7267.991545,7183.314602,7188.153321,7155.186584,7179.911965,7225.434775,7085.907329,7268.777143
2017-11-09 18:00:00 UTC,7192.19266,7209.577857,7346.718826,7204.281496,7210.276117,7179.886715,7204.027566,7231.146059,7205.18557,7257
2017-11-09 19:00:00 UTC,7152.807245,7172.318732,7343.422345,7174.207642,7174.955141,7144.326735,7167.487622,7193.078067,7083.174702,7257
2017-11-09 20:00:00 UTC,7167.574752,7178.781991,7347.035628,7185.095277,7182.636369,7154.597812,7178.118418,7209.581698,7107.98956,7258.85
2017-11-09 21:00:00 UTC,7117.857,7128.360659,7325.735967,7142.765906,7136.72602,7104.024906,7130.63751,7168.053317,7103.051384,7257
2017-11-09 22:00:00 UTC,7114.816541,7130.772515,7313.139766,7136.774966,7131.446059,7089.424569,7127.265953,7166.350579,7062.851612,
2017-11-09 23:00:00 UTC,7074.361459,7104.563587,7293.529165,7111.276037,7113.571293,7078.74479,7102.928508,7143.694606,7223.117721,
2017-11-10 00:00:00 UTC,7215.718115,7238.212141,7339.985731,7225.447295,7226.247188,7192.402544,7231.914948,7253.76632,7095.552672,7286.48
2017-11-10 01:00:00 UTC,7263.864807,7294.083771,7397.167277,7302.960816,7296.471756,7248.881917,7294.291354,7327.490414,7192.967336,7349
